11:37:55.905 [main] INFO  c.J.JournelApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.6 with PID 10684 (/home/manu-raj/Projects/JournelApp/target/classes started by manu-raj in /home/manu-raj/Projects/JournelApp)
11:37:56.896 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.5.0-41-generic"}, "platform": "Java/Ubuntu/21.0.6+7-Ubuntu-124.04.1"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='manuraj0642', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2f09e6b2, com.mongodb.Jep395RecordCodecProvider@1bee0085, com.mongodb.KotlinCodecProvider@16e1219f]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.qvcxx.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-13jav3-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
11:37:56.970 [cluster-ClusterId{value='67ef773c64a29e2e3ac62232', description='Cluster0'}-srv-cluster0.qvcxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.qvcxx.mongodb.net:27017 to client view of cluster
11:37:56.982 [cluster-ClusterId{value='67ef773c64a29e2e3ac62232', description='Cluster0'}-srv-cluster0.qvcxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.qvcxx.mongodb.net:27017 to client view of cluster
11:37:56.984 [cluster-ClusterId{value='67ef773c64a29e2e3ac62232', description='Cluster0'}-srv-cluster0.qvcxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.qvcxx.mongodb.net:27017 to client view of cluster
11:37:57.023 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29996 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-02.qvcxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.qvcxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.qvcxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
11:37:58.011 [cluster-ClusterId{value='67ef773c64a29e2e3ac62232', description='Cluster0'}-cluster0-shard-00-00.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.qvcxx.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=234654034, minRoundTripTimeNanos=0, setName='atlas-13jav3-shard-0', canonicalAddress=cluster0-shard-00-00.qvcxx.mongodb.net:27017, hosts=[cluster0-shard-00-02.qvcxx.mongodb.net:27017, cluster0-shard-00-01.qvcxx.mongodb.net:27017, cluster0-shard-00-00.qvcxx.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.qvcxx.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67ec3b4b42561bcea255d216, counter=4}, lastWriteDate=Fri Apr 04 11:37:46 IST 2025, lastUpdateTimeNanos=11599867597953}
11:37:58.011 [cluster-ClusterId{value='67ef773c64a29e2e3ac62232', description='Cluster0'}-cluster0-shard-00-01.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.qvcxx.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=241699203, minRoundTripTimeNanos=0, setName='atlas-13jav3-shard-0', canonicalAddress=cluster0-shard-00-01.qvcxx.mongodb.net:27017, hosts=[cluster0-shard-00-02.qvcxx.mongodb.net:27017, cluster0-shard-00-01.qvcxx.mongodb.net:27017, cluster0-shard-00-00.qvcxx.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.qvcxx.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67ec41bb14de3ebd3f194cb9, counter=3}, lastWriteDate=Fri Apr 04 11:37:46 IST 2025, lastUpdateTimeNanos=11599867597918}
11:37:58.643 [cluster-ClusterId{value='67ef773c64a29e2e3ac62232', description='Cluster0'}-cluster0-shard-00-02.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.qvcxx.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=114737389, minRoundTripTimeNanos=0, setName='atlas-13jav3-shard-0', canonicalAddress=cluster0-shard-00-02.qvcxx.mongodb.net:27017, hosts=[cluster0-shard-00-02.qvcxx.mongodb.net:27017, cluster0-shard-00-01.qvcxx.mongodb.net:27017, cluster0-shard-00-00.qvcxx.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.qvcxx.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000000b, setVersion=1, topologyVersion=TopologyVersion{processId=67ec3e5f203eb8dd602526b3, counter=6}, lastWriteDate=Fri Apr 04 11:37:46 IST 2025, lastUpdateTimeNanos=11600500375397}
11:37:58.644 [cluster-ClusterId{value='67ef773c64a29e2e3ac62232', description='Cluster0'}-cluster0-shard-00-02.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.qvcxx.mongodb.net:27017 with max election id 7fffffff000000000000000b and max set version 1
11:37:59.071 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailServiceImpl
11:37:59.222 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
11:37:59.246 [cluster-ClusterId{value='67ef773f64a29e2e3ac62233', description='Cluster0'}-srv-cluster0.qvcxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.qvcxx.mongodb.net:27017 to client view of cluster
11:37:59.248 [cluster-ClusterId{value='67ef773f64a29e2e3ac62233', description='Cluster0'}-srv-cluster0.qvcxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.qvcxx.mongodb.net:27017 to client view of cluster
11:37:59.249 [cluster-ClusterId{value='67ef773f64a29e2e3ac62233', description='Cluster0'}-srv-cluster0.qvcxx.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.qvcxx.mongodb.net:27017 to client view of cluster
11:37:59.250 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|reactive-streams|spring-boot", "version": "5.2.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.5.0-41-generic"}, "platform": "Java/Ubuntu/21.0.6+7-Ubuntu-124.04.1"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='manuraj0642', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2f09e6b2, com.mongodb.Jep395RecordCodecProvider@1bee0085, com.mongodb.KotlinCodecProvider@16e1219f]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.qvcxx.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-13jav3-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
11:37:59.272 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 17. Remaining time: 29999 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-02.qvcxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.qvcxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.qvcxx.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
11:37:59.307 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
11:37:59.313 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journalApp'
11:37:59.317 [main] INFO  c.J.JournelApp.JournalAppApplication - Started JournalAppApplication in 3.65 seconds (process running for 4.127)
11:37:59.357 [cluster-ClusterId{value='67ef773f64a29e2e3ac62233', description='Cluster0'}-cluster0-shard-00-00.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.qvcxx.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=71996652, minRoundTripTimeNanos=0, setName='atlas-13jav3-shard-0', canonicalAddress=cluster0-shard-00-00.qvcxx.mongodb.net:27017, hosts=[cluster0-shard-00-02.qvcxx.mongodb.net:27017, cluster0-shard-00-01.qvcxx.mongodb.net:27017, cluster0-shard-00-00.qvcxx.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.qvcxx.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67ec3b4b42561bcea255d216, counter=4}, lastWriteDate=Fri Apr 04 11:37:46 IST 2025, lastUpdateTimeNanos=11601215305236}
11:37:59.366 [cluster-ClusterId{value='67ef773f64a29e2e3ac62233', description='Cluster0'}-cluster0-shard-00-01.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.qvcxx.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=78759158, minRoundTripTimeNanos=0, setName='atlas-13jav3-shard-0', canonicalAddress=cluster0-shard-00-01.qvcxx.mongodb.net:27017, hosts=[cluster0-shard-00-02.qvcxx.mongodb.net:27017, cluster0-shard-00-01.qvcxx.mongodb.net:27017, cluster0-shard-00-00.qvcxx.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.qvcxx.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67ec41bb14de3ebd3f194cb9, counter=3}, lastWriteDate=Fri Apr 04 11:37:46 IST 2025, lastUpdateTimeNanos=11601223854020}
11:37:59.466 [cluster-ClusterId{value='67ef773f64a29e2e3ac62233', description='Cluster0'}-cluster0-shard-00-02.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.qvcxx.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=179688813, minRoundTripTimeNanos=0, setName='atlas-13jav3-shard-0', canonicalAddress=cluster0-shard-00-02.qvcxx.mongodb.net:27017, hosts=[cluster0-shard-00-02.qvcxx.mongodb.net:27017, cluster0-shard-00-01.qvcxx.mongodb.net:27017, cluster0-shard-00-00.qvcxx.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.qvcxx.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000000b, setVersion=1, topologyVersion=TopologyVersion{processId=67ec3e5f203eb8dd602526b3, counter=6}, lastWriteDate=Fri Apr 04 11:37:46 IST 2025, lastUpdateTimeNanos=11601323105091}
11:37:59.467 [cluster-ClusterId{value='67ef773f64a29e2e3ac62233', description='Cluster0'}-cluster0-shard-00-02.qvcxx.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.qvcxx.mongodb.net:27017 with max election id 7fffffff000000000000000b and max set version 1
11:38:35.834 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[.[/journalApp] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:38:35.834 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:38:35.834 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
